codez dwl.m10 dwl.b10 dwl.m20 dwl.b20 dwl.m30 dwl.b30 dwl.m40 dwl.b40 dwl.m50 dwl.b50 dwl.m60 dwl.b60 dwl.m60p dwl.b60p codezz dws.m10 dws.b10 dws.m20 dws.b20 dws.m30 dws.b30 dws.m40 dws.b40 dws.m50 dws.b50 dws.m60 dws.b60 dws.m60p dws.b60p dwr                                                           
47 268   0 298  0 437 0 142 0   0 0   0 0  0 0   47 559  0 294  0 200 0  34 0   0 0   0 0  0 0 1251                       
48 368 102 270  0 387 0  72 0   0 0   0 0  0 0   48 461 34 237  0 143 0 108 0   0 0   0 0  0 0 1094                       
49  79   0 248  0 358 0 222 0 295 0   0 0  0 0   49 624  0 434  0 297 0 173 0  99 0   0 0  0 0 1223                       
50   2   0 165  0 194 0  68 0   0 0   0 0  0 0   50 212  0 163  0 101 0   8 0   0 0   0 0  0 0  179                       
51  70   0 175  0 210 0 327 0 275 0   0 0  0 0   51 462  0 366  0 266 0 194 0 104 0   0 0  0 0  537                       
52  40   0 128  0 195 0 102 0   0 0   0 0  0 0   52 224  0 166  0 110 0  25 0   0 0   0 0  0 0  232                       
53  90   0 213  0 227 0 297 0 244 0   0 0  0 0   53 605  0 464  0 302 0 204 0 114 0   0 0  0 0 1044                       
54  88   0 285  0 266 0 306 0 284 0 162 0  0 0   54 534  0 295  0 385 0 220 0 149 0  74 0  0 0  922                       
55 238  41 422  0 294 0 287 0   0 0   0 0  0 0   55 633  6 335  0 195 0  90 0   0 0   0 0  0 0 1282                       
56 369   0 418  0 216 0   0 0   0 0   0 0  0 0   56 531  0 262  0  87 0   0 0   0 0   0 0  0 0 1021                       
57 104   5 126  0 232 0 238 0 111 0   0 0  0 0   57 392  3 285  0 209 0 114 0  24 0   0 0  0 0  341                       
58   0   0 142  0 205 0 262 0   0 0   0 0  0 0   58 284  0 225  0 162 0  97 0   0 0   0 0  0 0  245                       
59   0   3  60  0  55 0   0 0   0 0   0 0  0 0   59 151 15  80  0  30 0   0 0   0 0   0 0  0 0  123                       
60 121   0 197  0 302 0 189 0 278 0  84 0  0 0   60 566  0 437  0 209 0 311 0 138 0  29 0  0 0  881                       
61 545   0 123  0 265 0 290 0 345 0  91 0  0 0   61   0  0 412  0 332 0 230 0 156 0  28 0  0 0 1012                       
62 175  22 187  0 257 0 198 0 257 0  88 0  0 0   62 484 14 320  0 268 0 184 0 116 0  35 0  0 0  879                       
63 440   0 323  0 399 0 246 0  80 0   0 0  0 0   63 611  0 366  0 243 0 130 0  25 0   0 0  0 0 1172                       
64 356   0 465  0 416 0   0 0   0 0   0 0  0 0   64 692  0 364  0 213 0   0 0   0 0   0 0  0 0 1441                       
                                                                                                                          
